Zeya Cook 0,4,2,1,1,4,0,2,3,2,4
Tan Ellis 0,4,4,3,1,2,0,1,2,4,2
Hale Green 0,4,1,4,1,1,0,4,1,1,4
Ashlin Hall 0,2,3,1,0,0,4,2,1,2,3
Malak Fukui 0,2,4,1,2,4,2,1,1,0,1
Ziva Callahan 0,1,3,4,3,1,0,1,3,4,0
Beva Drugov 0,3,4,1,1,1,0,4,3,4,0
Abe Arima 0,4,3,4,1,1,0,4,1,4,2
Taren Yates 0,3,1,2,3,1,2,0,2,2,4
Arlyn Booth 0,0,3,0,4,2,2,1,3,0,2
Han Barnes 0,1,0,4,3,2,2,4,3,4,1
Dayle Rogers 0,4,1,3,3,4,0,4,2,0,1
Hayden Carson 0,0,2,3,2,3,4,1,0,2,0
Mel McBride 0,2,1,2,1,3,3,4,4,3,2
Isha Hayakawa 0,1,3,0,2,0,1,3,1,1,2
Fran Abrankowich 0,2,4,1,4,2,1,4,0,0,1
Noe Walker 0,0,2,0,3,4,4,4,3,2,3
Deron Richard 0,4,4,0,3,0,0,1,0,0,0
Nickie Ramirez 0,2,3,1,2,3,1,0,0,4,2
Lowan Romero 0,1,0,1,3,2,1,3,1,2,0
Amir Bolton 0,0,2,1,0,0,2,2,1,3,0
Jill Montoya 0,3,1,0,1,2,3,1,2,3,0
Vane Hodge 0,2,2,4,4,0,3,0,4,2,4
Nikita Watson 0,4,0,4,2,3,0,1,0,2,1
Torrey Watson 0,4,4,2,1,1,1,4,1,0,3
Lex Peters 0,3,3,4,3,4,3,0,1,3,2
Gail Wells 0,2,4,3,0,3,2,2,0,1,3
Nolan Hunter 0,2,4,0,2,4,2,4,3,4,0
Gale Chapman 0,0,3,1,2,1,2,4,2,2,4
Leone Mills 0,4,2,1,1,2,3,0,1,0,2
Kerrie Ray 0,2,0,4,1,4,3,4,3,4,2
Avery Higashi 0,0,2,4,1,4,2,0,4,0,3
Lee Savage 0,4,1,2,4,2,1,1,2,3,3
Harley Carroll 0,3,2,2,0,3,4,4,0,2,0
Gene Hawkins 0,2,4,0,1,0,4,4,0,2,3
Remy Hall 0,2,0,2,2,0,4,4,0,3,2
Terran Wells 0,3,3,2,0,1,0,0,2,3,2
Blake Ishimoto 0,1,3,2,2,2,4,3,0,2,1
Devyn Pearson 0,4,4,3,1,3,2,4,3,4,2
Eva Ellis 0,4,4,0,0,4,4,3,2,1,4
Harper Ellis 0,0,0,3,0,4,4,3,3,1,4
Fenix Ellis 0,2,1,0,4,2,1,4,2,2,3
Oriel Cook 0,1,3,3,2,2,1,0,4,4,0
Osha Green 0,2,4,0,2,4,2,1,1,2,1
Heath Steele 0,4,3,4,1,3,1,1,4,2,3
Yuri Mills 0,4,1,1,0,3,1,1,2,2,0
Jona Davis 0,0,4,2,3,4,1,0,0,4,4
Ator Davis 0,4,3,3,0,0,1,0,0,4,3
Jordan Washington 0,3,2,0,4,2,1,1,1,4,0
Farron Washington 0,2,3,0,3,3,4,0,2,3,1
Caden Andrews 0,0,4,1,2,1,0,3,1,0,2
Gaylen Russell 0,2,0,0,3,1,1,3,0,3,4
Jodey Agaki 0,1,4,4,2,4,0,1,0,4,0
Briana Chambers 0,0,1,4,4,1,4,0,0,2,4
Ismy Arima 0,0,2,1,0,1,0,0,3,1,0
Eli Booth 0,1,0,3,0,1,4,0,2,1,3
Leigh Kent 0,0,2,4,2,2,4,3,2,2,0
Jonah Malone 0,1,4,0,3,0,2,1,1,1,0
Valerian Fukui 0,2,0,1,3,3,2,3,4,1,2
Jin Komatsu 0,4,0,2,2,1,2,1,3,1,2
Dallan Jordan 0,1,4,4,2,0,3,0,3,2,2
Yera Romero 0,2,2,0,4,3,0,0,2,3,1
Kai Rogers 0,0,0,2,4,0,3,4,0,0,1
Cal Allen 0,4,1,4,2,3,3,3,2,1,3
Tyler Carrillo 0,2,0,4,4,1,3,2,2,1,2
Idris Kalashnik 0,3,3,4,2,4,0,1,0,4,3
Skye Duran 0,4,2,3,0,2,4,1,2,0,2
Hedly Walker 0,3,4,2,4,3,1,3,3,3,3
Shae Thomas 0,0,1,3,4,3,1,4,0,1,3
Pax Houghton 0,2,1,2,0,2,4,1,4,0,0
Lonnie Gordon 0,2,3,2,4,3,0,0,0,3,0
Remi Sharp 0,2,4,1,0,3,2,1,1,2,3
Jose Cain 0,0,0,2,3,0,3,1,1,2,0
Espen Nakahara 0,3,1,3,2,4,4,2,0,2,4
Aeran Lester 0,3,1,4,4,0,2,1,0,4,3
Evin Reid 0,1,2,2,3,0,0,1,4,0,4
Gallan Reid 0,1,0,4,1,1,2,0,1,0,1
Xavier Blake 0,4,1,2,0,0,1,2,2,0,3
Alia Swanson 0,3,0,2,2,4,4,2,4,3,3
Zyra Lee 0,4,3,2,4,4,4,0,4,0,4
Malak Kovalenko 0,0,3,3,4,0,1,3,3,1,1
Roan Rowen 0,4,1,2,3,3,2,4,4,3,3
Tristan Fukui 0,2,2,3,2,0,1,1,3,2,1
Flann Hollow 0,0,0,2,2,0,2,2,1,2,3
Lane Thomas 0,2,3,0,2,3,0,0,3,1,3
Nicol Wells 0,1,0,3,2,4,0,1,3,3,0
Ballard Case 0,1,1,2,2,4,3,0,4,0,2
Hali Okuma 0,1,0,2,3,4,1,2,0,2,4
Eugenie Russell 0,2,0,0,4,1,2,1,2,2,0
Karin Alexandrov 0,0,3,3,2,4,1,0,1,2,2
Jardan 0,4,4,0,2,0,3,2,1,3,2
Taelor 0,3,4,4,0,2,0,0,0,3,3
Aedan 0,0,4,1,1,4,4,0,2,3,0
Saria 0,4,1,3,1,1,3,1,2,3,0
Zaera 0,2,3,0,1,3,0,1,0,1,1
Mael 0,0,1,1,3,1,0,3,4,2,2
Keana 0,2,2,0,4,2,0,3,1,3,4
Tarai 0,4,4,2,1,2,2,3,3,3,2
Anix 0,1,3,4,3,3,2,4,3,0,1
Nayel 0,3,2,0,1,4,0,0,1,2,3
Zeya Cook 1,3,3,2,3,2,2,4,0,2,3
Tan Ellis 1,4,1,3,2,2,4,3,1,0,4
Hale Green 1,4,2,3,4,1,2,3,2,4,1
Ashlin Hall 1,0,1,1,1,1,0,0,0,0,3
Malak Fukui 1,3,2,2,2,1,3,0,1,0,0
Ziva Callahan 1,2,2,3,4,3,0,4,1,3,3
Beva Drugov 1,1,2,4,1,3,3,2,4,0,4
Abe Arima 1,4,2,0,0,3,2,3,3,4,0
Taren Yates 1,3,0,1,1,0,2,2,4,4,2
Arlyn Booth 1,4,0,1,0,3,2,3,3,2,4
Han Barnes 1,1,3,0,2,2,1,2,3,0,2
Dayle Rogers 1,4,3,1,0,3,2,4,2,2,0
Hayden Carson 1,2,0,0,0,0,3,3,1,0,4
Mel McBride 1,4,3,3,1,1,1,1,3,1,2
Isha Hayakawa 1,2,4,1,3,1,1,3,1,1,3
Fran Abrankowich 1,3,2,0,0,0,2,0,4,3,3
Noe Walker 1,1,2,3,2,1,2,4,2,0,0
Deron Richard 1,3,0,3,0,1,3,0,1,3,0
Nickie Ramirez 1,1,1,0,3,4,3,0,4,1,1
Lowan Romero 1,4,2,3,1,4,1,1,2,3,1
Amir Bolton 1,1,0,1,2,1,3,0,3,0,2
Jill Montoya 1,4,4,2,1,4,2,3,4,2,3
Vane Hodge 1,2,4,4,1,3,1,3,0,0,1
Nikita Watson 1,2,1,4,4,4,4,3,4,1,3
Torrey Watson 1,0,0,3,2,4,4,1,4,2,1
Lex Peters 1,2,3,2,3,2,1,2,3,2,3
Gail Wells 1,2,3,1,2,0,4,3,3,3,1
Nolan Hunter 1,4,1,1,3,4,0,1,2,2,4
Gale Chapman 1,4,4,0,3,0,4,3,4,4,0
Leone Mills 1,2,3,3,0,2,4,4,0,0,3
Kerrie Ray 1,4,4,2,4,3,3,2,1,4,3
Avery Higashi 1,2,2,3,1,0,4,3,1,4,1
Lee Savage 1,0,2,0,1,4,2,2,1,2,2
Harley Carroll 1,2,1,3,3,4,3,3,3,4,2
Gene Hawkins 1,3,1,0,4,1,4,3,3,3,3
Remy Hall 1,2,3,0,2,3,2,3,0,2,3
Terran Wells 1,2,4,1,2,1,0,4,0,0,2
Blake Ishimoto 1,3,0,4,1,4,0,2,2,3,0
Devyn Pearson 1,1,3,4,4,2,2,1,4,0,3
Eva Ellis 1,2,2,2,2,2,3,2,2,4,4
Harper Ellis 1,1,3,3,3,3,4,2,1,3,4
Fenix Ellis 1,0,2,4,2,2,4,2,3,0,3
Oriel Cook 1,2,3,1,1,3,1,4,0,0,2
Osha Green 1,2,3,0,0,1,2,2,4,1,4
Heath Steele 1,1,4,2,1,2,2,0,4,4,2
Yuri Mills 1,1,2,1,4,3,2,4,0,1,2
Jona Davis 1,0,1,3,4,0,2,1,1,2,0
Ator Davis 1,1,2,2,0,1,2,2,3,1,2
Jordan Washington 1,0,4,0,3,3,4,4,4,0,2
Farron Washington 1,2,2,4,1,0,2,2,2,4,1
Caden Andrews 1,4,1,0,0,3,4,3,0,4,0
Gaylen Russell 1,0,1,2,4,3,4,3,3,2,4
Jodey Agaki 1,4,0,4,2,1,0,2,4,2,1
Briana Chambers 1,2,0,0,1,0,4,1,0,4,2
Ismy Arima 1,1,3,1,1,1,4,1,1,4,3
Eli Booth 1,2,3,0,3,0,0,3,2,3,2
Leigh Kent 1,2,3,0,1,2,1,0,4,1,3
Jonah Malone 1,4,4,1,4,1,0,0,1,2,0
Valerian Fukui 1,3,0,3,0,1,3,0,0,4,3
Jin Komatsu 1,2,3,1,0,4,0,2,0,3,0
Dallan Jordan 1,4,1,3,2,1,3,1,2,0,2
Yera Romero 1,4,1,2,4,3,2,1,3,2,1
Kai Rogers 1,2,4,4,0,1,2,2,0,1,0
Cal Allen 1,1,1,1,2,1,0,4,2,3,0
Tyler Carrillo 1,1,1,1,4,1,4,4,1,2,3
Idris Kalashnik 1,1,4,0,1,1,1,3,3,4,0
Skye Duran 1,1,2,4,0,0,1,1,1,0,1
Hedly Walker 1,2,1,1,3,0,1,2,1,4,2
Shae Thomas 1,1,2,1,4,3,4,4,0,0,4
Pax Houghton 1,1,3,0,4,0,0,0,3,1,4
Lonnie Gordon 1,0,2,1,0,4,0,3,2,3,3
Remi Sharp 1,1,2,0,3,3,4,3,4,3,0
Jose Cain 1,3,4,2,3,2,2,1,0,3,0
Espen Nakahara 1,0,1,3,3,2,0,3,3,0,3
Aeran Lester 1,1,3,3,3,4,3,1,3,4,4
Evin Reid 1,2,3,3,2,0,4,1,3,0,1
Gallan Reid 1,2,4,4,1,4,4,0,1,1,1
Xavier Blake 1,4,2,2,1,4,1,4,2,2,3
Alia Swanson 1,4,3,2,2,2,1,0,1,1,2
Zyra Lee 1,4,3,2,0,4,1,3,1,2,1
Malak Kovalenko 1,0,1,1,3,3,0,3,0,1,2
Roan Rowen 1,3,2,2,1,1,2,4,3,4,1
Tristan Fukui 1,4,4,2,4,1,0,4,4,3,0
Flann Hollow 1,3,2,2,3,3,2,4,3,4,3
Lane Thomas 1,0,2,4,1,1,0,0,3,4,2
Nicol Wells 1,2,1,0,0,4,0,1,2,3,4
Ballard Case 1,3,3,3,2,2,2,3,4,2,3
Hali Okuma 1,1,3,4,0,3,1,1,1,4,3
